ACT_NAME,ACT_ID,ACT_DEF
"THE FATAL ACCIDENTS ACT, 1855",ACT NO. 13 OF 1855,An Act to provide compensation to families for loss occasioned by the death of a person caused by actionable wrong.
"THE INDIAN TRUSTS ACT, 1882",ACT NO. 2 OF 1882,An Act to define and amend the law relating to Private Trusts and Trustees.
"THE SUITS VALUATION ACT, 1887",ACT NO. 7 OF 1887,An Act to prescribe the mode of valuing certain suits for the purpose of determining the jurisdiction of Courts with respect thereto.
"THE GUARDIANS AND WARDS ACT, 1890",ACT NO. 8 OF 1890,An Act to consolidate and amend the law relating to Guardian and Ward.
EASEMENTS (EXTENDING ACT V OF 1882),ACT NO. 8 OF 1891,"An Act to extend the Indian Easements Act, 1882, to certain areas in which that Act is not in force."
"THE PARTITION ACT, 1893",ACT NO. 4 OF 1893,An Act to amend the Law relating to Partition.
"THE GENERAL CLAUSES ACT, 1897",ACT NO. 10 OF 1897,"An Act to consolidate and extend the General Clauses Act, 1868 and 1887."
"THE PRISONERS ACT, 1900",ACT NO. 3 OF 1900,An Act to consolidate the law relating to Prisoners confined by order of a Court.
"THE ANAND MARRIAGE ACT, 1909",ACT NO. 7 OF 1909,An Act to remove doubts as to the validity of the marriage ceremony common among the Sikhs called Anand.
"THE HINDU DISPOSITION OF PROPERTY ACT, 1916",ACT NO. 15 OF 1916,An Act to remove certain existing disabilities in respect of the power of disposition of property by Hindus for the benefit of persons not in existence at the date of such disposition.
"THE BOILERS ACT, 1923",ACT NO. 5 OF 1923,An Act to consolidate and amend the law relating to steam-boilers.
"THE TRADE UNIONS ACT, 1926 (Modified as on 24th August, 2020)",ACT NO. 16 OF 1926,An Act to provide for the registration of Trade Unions and in certain respects to define the law relating to registered Trade Unions 2***.
"THE SALE OF GOODS ACT, 1930",ACT NO. 3 OF 1930,An Act to define and amend the law relating to the sale of goods.
"THE INSURANCE ACT, 1938",ACT NO. 4 OF 1938,An Act to consolidate and amend the law relating to the business of insurance.
"THE DISSOLUTION OF MUSLIM MARRIAGES ACT, 1939",ACT NO. 8 OF 1939,An Act to consolidate and clarify the provisions of Muslim law relating to suits for dissolution of marriage by women married under Muslim law and to remove doubts as to the effect of the renunciation of Islam by a married Muslim woman on her marriage tie.
"THE INDUSTRIAL DISPUTES ACT, 1947",ACT NO. 14 OF 1947,"An Act to make provision for the investigation and settlement of industrial disputes, and for certain other purposes."
"THE INDIAN NURSING COUNCIL ACT, 1947",ACT NO. 48 OF 1947,An Act to constitute an Indian Nursing Council.
"THE PHARMACY ACT, 1948",ACT NO. 8 OF 1948,An Act to regulate the profession of pharmacy.
"THE DAMODAR VALLEY CORPORATION ACT, 1948",ACT NO. 14 OF 1948,An Act to provide for the establishment and regulation of a Corporation for the development of the Damodar Valley in the Provinces of Bihar and West Bengal.
"THE DELHI AND AJMER-MERWARA LAND DEVELOPMENT ACT, 1948",ACT NO. 66 OF 1948,"An Act to provide for the preparation and execution of land development schemes, the reclamation of waste-land and the control of private forests and grass-land, in the Provinces of Delhi and Ajmer-Merwara."
"THE CHARTERED ACCOUNTANTS ACT, 1949",ACT NO. 38 OF 1949,An Act to make provision for the regulation of the 1[profession of chartered accountants].
"THE AJMER TENANCY AND LAND RECORDS ACT, 1950",ACT NO. 42 OF 1950,"An Act to declare and amend the law relating to agricultural tenancies, record-of-rights and certain other matters in Ajmer."
"THE ROAD TRANSPORT CORPORATIONS ACT, 1950",ACT NO. 64 OF 1950,An Act to provide for the incorporation and regulation of Road Transport Corporations.
"THE VISVA-BHARATI ACT, 1951",ACT NO. 29 OF 1951,An Act to declare the institution known as “Visva-Bharati” to be an institution of national importance and to provide for its functioning as a unitary teaching and residential university.
"THE STATE FINANCIAL CORPORATIONS ACT, 1951",ACT NO. 63 OF 1951,An Act to provide for the establishment of State Financial Corporations.
"THE PLANTATIONS LABOUR ACT, 1951",ACT NO. 69 OF 1951,"An Act to provide for the welfare of labour, and to regulate the conditions of work, in plantations."
"THE PRESIDENTIAL AND VICE-PRESIDENTIAL ELECTIONS ACT, 1952",ACT NO. 31 OF 1952,An Act to regulate certain matters relating to or connected with elections to the offices of President and Vice-President of India.
"THE CINEMATOGRAPH ACT, 1952",ACT NO. 37 OF 1952,An Act to make provision for the certification of cinematograph films for exhibition and for regulating exhibitions by means of cinematographs.
"THE DELHI AND AJMER RENT CONTROL ACT, 1952",ACT NO. 38 OF 1952,"An Act to provide for the control of rents and evictions, and for the lease of vacant premises to Government, in certain areas in the States of Delhi and Ajmer."
"THE RESERVE AND AUXILIARY AIR FORCES ACT, 1952",ACT NO. 62 OF 1952,An Act to provide for the constitution and regulation of certain Air Force Reserve and also an Auxiliary Air Force and for matters connected therewith.
"THE FORWARD CONTRACTS (REGULATION) ACT, 1952",ACT NO. 74 OF 1952,"An Act to provide for the regulation of certain matters relating to forward contracts, the prohibition of options in goods and for matters connected therewith."
"THE ANDHRA STATE ACT, 1953",ACT NO. 30 OF 1953,"An Act to provide for the formation of the State of Andhra, the increasing of the area of the State of Mysore and the diminishing of the area of the State of Madras, and for matters connected therewith."
"THE DRUGS AND MAGIC REMEDIES (OBJECTIONABLE ADVERTISEMENTS) ACT, 1954",ACT NO. 21 OF 1954,"An Act to control the advertisement of drugs in certain cases, to prohibit the advertisement for certain purposes of remedies alleged to possess magic qualities and to provide for matters connected therewith."
"THE SPECIAL MARRIAGE ACT, 1954",ACT NO. 43 OF 1954,"An Act to provide a special form of marriage in certain cases, for the registration of such and certain other marriages and for divorce."
"THE PRIZE COMPETITIONS ACT, 1955",ACT NO. 42 OF 1955,An Act to provide for the control and regulation of prize competitions.
"THE MANIPUR (COURTS) ACT, 1955",ACT NO. 56 OF 1955,An Act to provide for the establishment of a Judicial Commissioner’s Court and other Courts in Manipur.
"THE UNIVERSITY GRANTS COMMISSION ACT, 1956",ACT NO. 3 OF 1956,"An Act to make provision for the co-ordination and determination of standards in Universities and for that purpose, to establish a University Grants Commission."
"THE ALL-INDIA INSTITUTE OF MEDICAL SCIENCE ACT, 1956",ACT NO. 25 OF 1956,An Act to provide for the establishment of 1[All-India Institutes of Medical Sciences].
"THE LIFE INSURANCE CORPORATION ACT, 1956",ACT NO. 31 OF 1956,An Act to provide for the nationalisation of life insurance business in India by transferring all such business to a Corporation established for the purpose and to provide for the regulation and control of the business of the Corporation and for matters connected therewith or incidental thereto.
"THE HINDU MINORITY AND GUARDIANSHIP ACT, 1956",ACT NO. 32 OF 1956,An Act to amend and codify certain parts of the law relating to minority and guardianship among Hindus.
"THE BIHAR AND WEST BENGAL (TRANSFER OF TERRITORIES) ACT, 1956",ACT NO. 40 OF 1956,An Act to provide for the transfer of certain territories from Bihar to West Bengal and for matters connected therewith.
"THE RIVER BOARDS ACT, 1956",ACT NO. 49 OF 1956,An Act to provide for the establishment of River Boards for the regulation and development of inter-State rivers and river valleys.
"THE HINDU ADOPTIONS AND MAINTENANCE ACT, 1956",ACT NO. 78 OF 1956,An Act to amend and codify the law relating to adoptions and maintenance among Hindus.
"THE MANIPUR (VILLAGE AUTHORITIES IN HILL AREAS) ACT, 1956",ACT NO. 80 OF 1956,An Act to consolidate and amend the law relating to the constitution and functions of Village Authorities in the hill areas of the Union territory of Manipur.
"THE FARIDABAD DEVELOPMENT CORPORATION ACT, 1956",ACT NO. 90 OF 1956,"An Act to provide for the establishment and regulation of a trading Corporation for the purpose of carrying on and promoting trade and industry in the town of Faridabad, assisting in the rehabilitation of displaced persons settled therein and for matters connected therewith."
"THE SLUM AREAS (IMPROVEMENT AND CLEARANCE) ACT, 1956",ACT NO. 96 OF 1956,An Act to provide for the improvement and clearance of slum areas in certain Union territories and for the protection of tenants in such areas from eviction.
"THE PROBATION OF OFFENDERS ACT, 1958",ACT NO. 20 OF 1958,An Act to provide for the release of offenders on probation or after due admonition and for matters connected therewith.
"THE COST AND WORKS ACCOUNTANTS ACT, 1959",ACT NO. 23 OF 1959,An Act to make provision for the regulation of the profession of cost and works accountants.
"THE ANDHRA PRADESH AND MADRAS (ALTERATION OF BOUNDARIES) ACT, 1959",ACT NO. 56 OF 1959,An Act to provide for the alteration of boundaries of the States of Andhra Pradesh and Madras and for matters connected therewith.
"THE BOMBAY REORGANISATION ACT, 1960",ACT NO. 11 OF 1960,An Act to provide for the reorganisation of the State of Bombay and for matters connected therewith.
"THE MANIPUR LAND REVENUE AND LAND REFORMS ACT, 1960",ACT NO. 33 OF 1960,An Act to consolidate and amend the law relating to land revenue in the Union territory of Manipur and to provide for certain measures of land reform.
"THE DELHI PRIMARY EDUCATION ACT, 1960",ACT NO. 39 OF 1960,An Act to provide for free and compulsory Primary education for children in the Union territory of Delhi.
"THE TRIPURA LAND REVENUE AND LAND REFORMS ACT, 1960",ACT NO. 43 OF 1960,An Act to consolidate and amend the law relating to land revenue in the Union territory of Tripura and to provide for the acquisition of estates and for certain other measures of land reform.
"THE SALAR JUNG MUSEUM ACT, 1961",ACT NO. 26 OF 1961,An Act to declare the Salar Jung Museum together with the Salar Jung Library at Hyderabad to be an institution of national importance and to provide for its administration and certain other connected matters.
"THE DOWRY PROHIBITION ACT, 1961",ACT NO. 28 OF 1961,An Act to prohibit the giving or taking of dowry.
"THE DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION ACT, 1961",ACT NO. 47 OF 1961,An Act to provide for the establishment of a corporation for the purpose of insurance of deposits 2[and guaranteeing of credit facilities] and for other matters connected therewith or incidental thereto.
"THE INSTITUTES OF TECHNOLOGY ACT, 1961",ACT NO. 59 OF 1961,"An Act to declare certain institutions of technology to be institutions of national importance and to provide for certain matters connected with such institutions and the Indian Institute of Technology, Kharagpur."
"THE STATE OF NAGALAND ACT, 1962",ACT NO. 27 OF 1962,An Act to provide for the formation of the State of Nagaland and for matters connected therewith.
"THE ATOMIC ENERGY ACT, 1962",ACT 33 OF 1962,"An Act to provide for the development, control and use of atomic energy for the welfare of the people of India and for other peaceful purposes and for matters connected therewith."
"THE EXTRADITION ACT, 1962",ACT NO. 34 OF 1962,An Act to consolidate and amend the law relating to the extradition of fugitive criminals 1[and to provide for matters connected therewith or incidental thereto.]
"THE MANIPUR (SALES OF MOTOR SPIRIT AND LUBRICANTS) TAXATION ACT, 1962",ACT NO. 55 OF 1962,An Act to consolidate and amend the law relating to the levy of a tax on sales of motor spirit and lubricants in the Union territory of Manipur.
"THE DELHI MOTOR VEHICLES TAXATION ACT, 1962",ACT NO. 57 OF 1962,An Act to impose a tax on motor vehicles in the Union territory of Delhi and for other matters connected therewith.
"THE MARINE INSURANCE ACT, 1963",ACT NO. 11 OF 1963,An Act to codify the law relating to marine insurance.
"THE GOVERNMENT OF UNION TERRITORIES ACT, 1963",ACT NO. 20 OF 1963,An Act to provide for Legislative Assemblies and Councils of Ministers for certain Union territories and for certain other matters.
"THE SPECIFIC RELIEF ACT, 1963",ACT NO. 47 OF 1963,An Act to define and amend the law relating to certain kinds of specific relief.
"THE COMPANIES (PROFITS) SURTAX ACT, 1964",ACT NO. 7 OF 1964,An Act to impose a special tax on the profits of certain companies.
"THE FOOD CORPORATIONS ACT, 1964",ACT NO. 37 OF 1964,An Act to provide for the establishment of Food Corporations for the purpose of trading in foodgrains and other foodstuffs and for matters connected therewith and incidental thereto.
"THE SEAMEN’S PROVIDENT FUND ACT, 1966",ACT NO. 4 OF 1966,An Act to provide for the institution of a provident fund for seamen.
"THE DELHI HIGH COURT ACT, 1966",ACT NO. 26 OF 1966,"An Act to provide for the constitution of a High Court for the Union territory of Delhi, for the extension of the jurisdiction of that High Court to the Union territory of Himachal Pradesh and for matters connected therewith."
"THE PUNJAB REORGANISATION ACT, 1966",ACT NO. 31 OF 1966,An Act to provide for the reorganisation of the existing State of Punjab and for matters connected therewith.
